trials.thisTrialN,trials.stepSize,trials.intensity,fixtation.started,grating.started,key_resp.started,fixtation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
30,0.5,4.0,45.381997200194746,45.88250790000893,45.88250790000893,45.88250790000893,46.182622499996796,right,4.0,1,1,0.4262019998859614,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
31,0.5,4.0,46.33193440013565,46.83232370018959,46.83232370018959,46.83232370018959,47.13243060000241,left,-4.0,1,1,0.5608396998140961,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
32,0.5,3.5,47.41626410000026,47.900034700054675,47.900034700054675,47.91660400014371,48.200270500034094,left,-3.5,1,1,0.4915920998901129,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
33,0.5,3.5,48.41616400005296,48.899793500080705,48.899793500080705,48.916438300162554,49.200087200151756,right,3.5,1,1,0.42822379991412163,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
34,0.5,3.5,49.35005520004779,49.85063730017282,49.85063730017282,49.85063730017282,50.150795800145715,right,3.5,0,0,0.37226409977301955,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
35,0.5,4.0,50.249757200013846,50.73530490021221,50.73530490021221,50.75059480010532,51.034397700103,left,-4.0,0,0,0.3353935000486672,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
36,0.5,4.5,51.10102659999393,51.6010879999958,51.6010879999958,51.6010879999958,51.90091480012052,right,4.5,0,0,0.5899541999679059,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
37,0.5,5.0,52.217306800186634,52.70154540007934,52.70154540007934,52.71832050010562,53.00212170020677,right,5.0,1,1,0.7650383997242898,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
38,0.5,5.0,53.4848172001075,53.985157100018114,53.985157100018114,53.985157100018114,54.28531760000624,left,-5.0,1,1,0.7566485998686403,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
39,0.5,5.0,54.768509700195864,55.26889599999413,55.26889599999413,55.26889599999413,55.569624700117856,right,5.0,1,1,0.5405470000114292,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
